Username ,FirstName,LastName,Q #,Q Type,Answer,Score
riley.smith0,Riley,Smith,1,MC,C,0.0
riley.smith0,Riley,Smith,2,MC,C,0.0
riley.smith0,Riley,Smith,3,MC ,A,0.0
riley.smith0,Riley,Smith,4,MC,B,1.0
riley.smith0,Riley,Smith,5,MC,C,1.0
riley.smith0,Riley,Smith,6,MC,C,1.0
riley.smith0,Riley,Smith,7,MC,C,0.0
riley.smith0,Riley,Smith,8,MC,C,0.0
riley.smith0,Riley,Smith,9,MC,D,0.0
riley.smith0,Riley,Smith,10,WR,AI gives helpful feedback.,
riley.davis1,Riley,Davis,1,MC,C,1.0
riley.davis1,Riley,Davis,2,MC,B,1.0
riley.davis1,Riley,Davis,3,MC,C,0.0
riley.davis1,Riley,Davis,4,MC,B,0.0
riley.davis1,Riley,Davis,5,MC,B,1.0
riley.davis1,Riley,Davis,6,MC,B,0.0
riley.davis1,Riley,Davis,7,MC,B,1.0
riley.davis1,Riley,Davis,8,MC,C,0.0
riley.davis1,Riley,Davis,9,MC,D,0.0
riley.davis1,Riley,Davis,10,WR,AI tools help me improve grammar.,
alex.brown2,Alex,Brown,1,MC,B,1.0
alex.brown2,Alex,Brown,2,MC,C,1.0
alex.brown2,Alex,Brown,3,MC,C,1.0
alex.brown2,Alex,Brown,4,MC,C,1.0
alex.brown2,Alex,Brown,5,MC,D,0.0
alex.brown2,Alex,Brown,6,MC,B,0.0
alex.brown2,Alex,Brown,7,MC,B,1.0
alex.brown2,Alex,Brown,8,MC,D,1.0
alex.brown2,Alex,Brown,9,MC,D,1.0
alex.brown2,Alex,Brown,10,WR,AI tools help me improve grammar.,
morgan.johnson3,Morgan,Johnson,1,MC,B,1.0
morgan.johnson3,Morgan,Johnson,2,MC,C,1.0
morgan.johnson3,Morgan,Johnson,3,MC,D,1.0
morgan.johnson3,Morgan,Johnson,4,MC,A,1.0
morgan.johnson3,Morgan,Johnson,5,MC,C,1.0
morgan.johnson3,Morgan,Johnson,6,MC,A,1.0
morgan.johnson3,Morgan,Johnson,7,MC,C,1.0
morgan.johnson3,Morgan,Johnson,8,MC,A,1.0
morgan.johnson3,Morgan,Johnson,9,MC,A,1.0
morgan.johnson3,Morgan,Johnson,10,WR,AI really supports my language learning.,
quinn.johnson4,Quinn,Johnson,1,MC,D,0.0
quinn.johnson4,Quinn,Johnson,2,MC,D,1.0
quinn.johnson4,Quinn,Johnson,3,MC,A,1.0
quinn.johnson4,Quinn,Johnson,4,MC,A,1.0
quinn.johnson4,Quinn,Johnson,5,MC,A,1.0
quinn.johnson4,Quinn,Johnson,6,MC,D,1.0
quinn.johnson4,Quinn,Johnson,7,MC,B,1.0
quinn.johnson4,Quinn,Johnson,8,MC,D,1.0
quinn.johnson4,Quinn,Johnson,9,MC,C,1.0
quinn.johnson4,Quinn,Johnson,10,WR,I feel confident using AI in class.,
taylor.lopez5,Taylor,Lopez,1,MC,D,1.0
taylor.lopez5,Taylor,Lopez,2,MC,A,1.0
taylor.lopez5,Taylor,Lopez,3,MC,B,1.0
taylor.lopez5,Taylor,Lopez,4,MC,D,1.0
taylor.lopez5,Taylor,Lopez,5,MC,B,1.0
taylor.lopez5,Taylor,Lopez,6,MC,A,1.0
taylor.lopez5,Taylor,Lopez,7,MC,A,1.0
taylor.lopez5,Taylor,Lopez,8,MC,B,1.0
taylor.lopez5,Taylor,Lopez,9,MC,A,1.0
taylor.lopez5,Taylor,Lopez,10,WR,AI gives helpful feedback.,
casey.brown6,Casey,Brown,1,MC,D,1.0
casey.brown6,Casey,Brown,2,MC,A,1.0
casey.brown6,Casey,Brown,3,MC,B,1.0
casey.brown6,Casey,Brown,4,MC,D,0.0
casey.brown6,Casey,Brown,5,MC,B,1.0
casey.brown6,Casey,Brown,6,MC,A,0.0
casey.brown6,Casey,Brown,7,MC,D,1.0
casey.brown6,Casey,Brown,8,MC,C,0.0
casey.brown6,Casey,Brown,9,MC,C,0.0
casey.brown6,Casey,Brown,10,WR,AI gives helpful feedback.,
avery.davis7,Avery,Davis,1,MC,D,1.0
avery.davis7,Avery,Davis,2,MC,B,0.0
avery.davis7,Avery,Davis,3,MC,A,1.0
avery.davis7,Avery,Davis,4,MC,A,1.0
avery.davis7,Avery,Davis,5,MC,C,1.0
avery.davis7,Avery,Davis,6,MC,B,0.0
avery.davis7,Avery,Davis,7,MC,C,1.0
avery.davis7,Avery,Davis,8,MC,C,0.0
avery.davis7,Avery,Davis,9,MC,C,1.0
avery.davis7,Avery,Davis,10,WR,AI really supports my language learning.,
morgan.davis8,Morgan,Davis,1,MC,B,1.0
morgan.davis8,Morgan,Davis,2,MC,B,1.0
morgan.davis8,Morgan,Davis,3,MC,A,0.0
morgan.davis8,Morgan,Davis,4,MC,A,0.0
morgan.davis8,Morgan,Davis,5,MC,D,1.0
morgan.davis8,Morgan,Davis,6,MC,B,1.0
morgan.davis8,Morgan,Davis,7,MC,B,1.0
morgan.davis8,Morgan,Davis,8,MC,B,1.0
morgan.davis8,Morgan,Davis,9,MC,B,0.0
morgan.davis8,Morgan,Davis,10,WR,AI tools help me improve grammar.,
jordan.smith9,Jordan,Smith,1,MC,C,1.0
jordan.smith9,Jordan,Smith,2,MC,B,1.0
jordan.smith9,Jordan,Smith,3,MC,D,0.0
jordan.smith9,Jordan,Smith,4,MC,B,0.0
jordan.smith9,Jordan,Smith,5,MC,D,0.0
jordan.smith9,Jordan,Smith,6,MC,B,0.0
jordan.smith9,Jordan,Smith,7,MC,B,1.0
jordan.smith9,Jordan,Smith,8,MC,A,1.0
jordan.smith9,Jordan,Smith,9,MC,A,1.0
jordan.smith9,Jordan,Smith,10,WR,AI really supports my language learning.,
riley.martinez10,Riley,Martinez,1,MC,A,1.0
riley.martinez10,Riley,Martinez,2,MC,A,0.0
riley.martinez10,Riley,Martinez,3,MC,B,1.0
